"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22","WV01"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-01","   80","   90",,,,"0.00","0.0","0.0",,"28","22",,"  330",,,,,,"14.1",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-02","   30","   20",,,,"0.00","0.0","0.0",,"31","22",,"  290",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-03","   80","  100",,,,"0.02","0.0","0.0",,"38","25",,"  310",,,,,,"17.0",,,,,,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-04","   10","   20",,,,"0.00","0.0","0.0",,"31","23",,"  300",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-05","   30","   10",,,,"0.00","0.0","0.0",,"35","21",,"  270",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-06","  100","  100",,,,"0.04","0.3","0.0",,"36","28",,"   40",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-07","  100","  100",,,,"0.12","1.2","2.0",,"28","22",,"   40",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-08","   50","   80",,,,"0.01","0.0","2.0",,"23","8",,"  280",,,,,,"30.0",,,,,,,,,,,,"    1","    1",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-09","    0","    0",,,,"0.00","0.0","2.0",,"15","6",,"  300",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-10","   20","   10",,,,"0.00","0.0","1.0",,"32","10",,"  290",,,,,,"28.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-11","   50","   50",,,,"0.00","0.0","0.0",,"29","21",,"  270",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-12","   90","  100",,,,"0.13","1.6","1.0",,"31","24",,"  300",,,,,,"14.1",,,,,"    1",,,,,,,"    1",,,,,,,,"    1",,,
