DATE,MORTGAGE30US
1971-04-02,7.33
1971-04-09,7.31
1971-04-16,7.31
1971-04-23,7.31
1971-04-30,7.29
1971-05-07,7.38
1971-05-14,7.42
1971-05-21,7.44
1971-05-28,7.46
1971-06-04,7.52
1971-06-11,7.52
1971-06-18,7.54
1971-06-25,7.54
1971-07-02,7.54
1971-07-09,7.54
1971-07-16,7.60
1971-07-23,7.65
1971-07-30,7.69
1971-08-06,7.66
1971-08-13,7.73
1971-08-20,7.71
1971-08-27,7.69
1971-09-03,7.71
1971-09-10,7.67
1971-09-17,7.70
1971-09-24,7.67
1971-10-01,7.67
1971-10-08,7.63
1971-10-15,7.63
1971-10-22,7.58
1971-10-29,7.63
1971-11-05,7.59
1971-11-12,7.56
1971-11-19,7.54
1971-11-26,7.51
1971-12-03,7.49
1971-12-10,7.47
1971-12-17,7.48
1971-12-24,7.48
1971-12-31,7.48
1972-01-07,7.46
1972-01-14,7.46
1972-01-21,7.43
1972-01-28,7.40
1972-02-04,7.35
1972-02-11,7.33
1972-02-18,7.31
1972-02-25,7.31
1972-03-03,7.32
1972-03-10,7.32
1972-03-17,7.31
1972-03-24,7.31
1972-03-31,7.23
1972-04-07,7.25
1972-04-14,7.29
1972-04-21,7.29
1972-04-28,7.33
1972-05-05,7.33
1972-05-12,7.38
1972-05-19,7.38
1972-05-26,7.40
1972-06-02,7.36
1972-06-09,7.38
1972-06-16,7.38
1972-06-23,7.36
1972-06-30,7.38
1972-07-07,7.38
1972-07-14,7.40
1972-07-21,7.40
1972-07-28,7.40
1972-08-04,7.35
1972-08-11,7.41
1972-08-18,7.42
1972-08-25,7.42
1972-09-01,7.42
1972-09-08,7.42
1972-09-15,7.42
1972-09-22,7.41
1972-09-29,7.43
1972-10-06,7.41
1972-10-13,7.41
1972-10-20,7.44
1972-10-27,7.42
1972-11-03,7.43
1972-11-10,7.42
1972-11-17,7.42
1972-11-24,7.44
1972-12-01,7.45
1972-12-08,7.43
1972-12-15,7.43
1972-12-22,7.45
1972-12-29,7.45
1973-01-05,7.44
1973-01-12,7.44
1973-01-19,7.44
1973-01-26,7.43
1973-02-02,7.43
1973-02-09,7.43
1973-02-16,7.45
1973-02-23,7.45
1973-03-02,7.45
1973-03-09,7.45
1973-03-16,7.45
1973-03-23,7.45
1973-03-30,7.49
1973-04-06,7.51
