team,year,athletes,events,age,height,weight,prev_medals,medals
AFG,1964,8,8,22.0,161.0,64.2,0.0,0
AFG,1968,5,5,23.2,170.2,70.0,0.0,0
AFG,1972,8,8,29.0,168.3,63.8,0.0,0
AFG,1980,11,11,23.6,168.4,63.2,0.0,0
AFG,2004,5,5,18.6,170.8,64.8,0.0,0
AFG,2008,4,4,22.5,179.2,62.8,0.0,1
AFG,2012,6,6,24.8,171.7,60.8,1.0,1
AFG,2016,3,3,24.7,173.7,74.0,1.0,0
AHO,1964,4,4,28.5,171.2,69.4,0.0,0
AHO,1968,5,4,31.0,173.2,67.8,0.0,0
AHO,1972,2,2,38.5,164.0,86.0,0.0,0
AHO,1976,4,4,27.3,174.5,66.0,0.0,0
AHO,1984,13,10,18.2,181.1,69.8,0.0,0
AHO,1988,4,4,25.0,193.0,80.0,0.0,1
AHO,1992,4,4,30.2,178.0,83.5,1.0,0
AHO,1996,7,7,30.1,178.0,83.2,0.0,0
AHO,2000,8,8,30.6,179.1,79.6,0.0,0
AHO,2004,3,3,32.3,183.7,80.0,0.0,0
AHO,2008,4,4,23.0,178.8,74.5,0.0,0
ALB,1996,9,7,26.8,169.0,67.5,0.0,0
ALB,2000,5,5,31.2,167.8,62.9,0.0,0
ALB,2004,7,7,20.9,172.3,70.7,0.0,0
ALB,2008,12,12,27.2,173.4,74.8,0.0,0
ALB,2012,10,9,25.7,176.8,80.2,0.0,0
ALB,2016,6,6,23.7,176.2,67.2,0.0,0
ALG,1968,9,9,25.8,169.8,61.2,0.0,0
ALG,1972,7,5,22.7,173.2,63.5,0.0,0
ALG,1980,63,28,23.4,175.4,69.2,0.0,0
ALG,1984,33,17,24.3,176.8,73.3,0.0,2
ALG,1988,45,29,24.6,176.2,72.8,2.0,0
ALG,1992,36,27,23.8,170.4,63.0,0.0,2
ALG,1996,47,29,24.2,176.0,70.2,2.0,3
ALG,2000,51,42,24.9,174.3,67.9,3.0,5
ALG,2004,71,57,25.1,173.6,67.6,5.0,0
ALG,2008,57,44,25.2,177.0,70.8,0.0,2
ALG,2012,39,29,24.8,174.3,66.9,2.0,1
ALG,2016,74,48,24.0,174.0,68.4,1.0,2
AND,1980,2,1,31.0,180.5,85.5,0.0,0
AND,1984,2,1,35.0,180.5,85.5,0.0,0
AND,1988,4,3,22.2,170.8,64.5,0.0,0
AND,1992,8,5,23.1,171.2,63.7,0.0,0
AND,1996,8,7,24.4,172.4,64.4,0.0,0
AND,2000,5,5,31.0,175.0,69.8,0.0,0
AND,2004,6,6,29.7,173.3,68.5,0.0,0
AND,2008,5,5,26.6,169.0,61.4,0.0,0
AND,2012,6,6,32.0,173.4,68.0,0.0,0
AND,2016,4,4,26.0,171.5,66.2,0.0,0
ANG,1988,33,27,20.1,169.2,61.3,0.0,0
ANG,1992,33,21,23.9,182.3,76.8,0.0,0
ANG,1996,30,8,25.5,180.6,76.8,0.0,0
ANG,2000,30,7,26.8,182.8,80.5,0.0,0
ANG,2004,30,5,26.7,182.9,81.5,0.0,0
ANG,2008,33,8,27.2,182.5,79.1,0.0,0
ANG,2012,35,10,26.4,174.4,70.1,0.0,0
ANG,2016,26,10,27.5,174.5,73.3,0.0,0
ANT,1984,27,17,21.1,176.5,64.8,0.0,0
ANT,1988,25,19,23.3,177.8,65.2,0.0,0
ANT,1992,18,15,25.4,172.3,63.7,0.0,0
ANT,1996,19,9,24.4,167.5,63.3,0.0,0
ANT,2000,4,4,29.5,170.2,69.5,0.0,0
ANT,2004,5,5,20.0,169.0,59.8,0.0,0
ANT,2008,5,5,22.2,176.8,68.4,0.0,0
ANT,2012,4,4,23.0,174.2,68.0,0.0,0
ANT,2016,9,5,22.2,176.8,71.6,0.0,0
ARG,1964,148,78,27.5,175.3,74.0,4.0,1
ARG,1968,132,60,26.1,175.5,73.1,1.0,2
ARG,1972,123,62,26.3,175.7,73.8,2.0,1
ARG,1976,106,50,24.2,175.3,73.9,1.0,0
ARG,1984,115,70,24.9,177.6,73.5,0.0,0
ARG,1988,134,53,25.0,178.7,73.4,0.0,13
ARG,1992,111,68,24.3,176.1,73.5,13.0,2
ARG,1996,221,102,24.5,177.9,75.7,2.0,20
ARG,2000,165,98,25.0,175.8,72.5,20.0,20
ARG,2004,179,86,27.0,177.4,75.2,20.0,49
ARG,2008,145,71,27.1,176.9,74.4,49.0,51
ARG,2012,148,66,27.4,180.0,78.4,51.0,19
ARG,2016,232,80,27.5,178.7,75.2,19.0,22
ARM,2000,26,26,25.6,174.2,75.3,2.0,1
ARM,2004,19,19,26.7,173.8,79.3,1.0,0
ARM,2008,26,24,24.9,173.7,74.5,0.0,6
ARM,2012,31,30,24.9,173.3,73.2,6.0,3
ARM,2016,34,32,24.5,170.3,73.6,3.0,4
ARU,1992,5,4,28.0,171.2,67.2,0.0,0
ARU,1996,3,3,23.3,175.3,79.3,0.0,0
ARU,2000,5,5,19.6,170.2,61.6,0.0,0
ARU,2004,4,4,22.0,175.8,74.0,0.0,0
ARU,2008,2,2,25.5,186.5,80.5,0.0,0
ARU,2012,4,4,23.8,173.0,87.0,0.0,0
