,Player,Year,PTS,AST,MVP Votes
5562,Stephen Curry,2016,30.1,6.7,1310.0
6300,Kevin Durant,2014,32.0,5.5,1232.0
13783,Kevin Garnett,2004,24.2,5.0,1219.0
143,Shaquille O'Neal,2000,29.7,3.8,1207.0
12974,LeBron James,2013,26.8,7.3,1207.0
5542,LeBron James,2010,29.7,8.6,1205.0
6050,Stephen Curry,2015,23.8,7.7,1198.0
12180,Derrick Rose,2011,25.0,7.7,1182.0
5525,LeBron James,2009,28.4,7.2,1172.0
9506,Dirk Nowitzki,2007,24.6,3.4,1138.0
968,Allen Iverson,2001,31.1,4.6,1121.0
10510,Michael Jordan,1996,30.4,4.3,1114.0
6715,Kobe Bryant,2008,28.3,5.4,1100.0
10538,Michael Jordan,1998,28.7,3.5,1084.0
13022,LeBron James,2012,27.1,6.2,1074.0
5175,Steve Nash,2005,15.5,11.5,1066.0
4762,Shaquille O'Neal,2005,22.9,2.7,1032.0
5208,Steve Nash,2007,18.6,11.6,1013.0
1600,Karl Malone,1997,27.4,4.5,986.0
641,Nikola Jokić,2021,26.4,8.3,971.0
867,James Harden,2018,30.4,8.8,965.0
12314,Giannis Antetokounmpo,2020,29.5,5.6,962.0
12334,Tim Duncan,2003,23.3,3.9,962.0
10524,Michael Jordan,1997,29.6,4.3,957.0
5151,Tim Duncan,2002,25.5,3.7,954.0
11443,Giannis Antetokounmpo,2019,27.7,5.9,941.0
13379,James Harden,2015,27.4,7.0,936.0
5193,Steve Nash,2006,18.8,10.5,924.0
9813,David Robinson,1995,27.6,2.9,901.0
9940,Michael Jordan,1992,30.1,6.1,900.0
1224,Jason Kidd,2002,14.7,9.9,897.0
11423,Chris Paul,2008,21.1,11.6,894.0
9927,Michael Jordan,1991,31.5,5.5,891.0
12989,LeBron James,2014,27.1,6.3,891.0
13413,Kevin Durant,2012,28.0,3.5,889.0
12637,Hakeem Olajuwon,1994,27.3,3.6,889.0
6352,Russell Westbrook,2017,31.6,10.4,888.0
8498,Kevin Garnett,2003,23.0,6.0,871.0
1613,Karl Malone,1998,27.0,3.9,842.0
12801,Charles Barkley,1993,25.6,5.1,835.0
1626,Karl Malone,1999,23.8,4.1,827.0
9634,James Harden,2019,36.1,7.5,776.0
4701,Alonzo Mourning,1999,20.1,1.6,773.0
13628,Kevin Durant,2013,28.1,4.6,765.0
11011,James Harden,2017,29.1,11.2,753.0
3720,LeBron James,2020,25.3,10.2,753.0
6917,Tim Duncan,1999,21.7,2.4,740.0
7579,LeBron James,2018,27.5,9.1,738.0
8684,David Robinson,1994,29.8,4.8,730.0
3772,Tim Duncan,2004,22.3,3.1,716.0
8923,Tim Duncan,2001,22.2,3.0,706.0
1719,Kobe Bryant,2009,26.8,4.9,698.0
12232,Shaquille O'Neal,2002,27.2,3.0,696.0
3263,LeBron James,2006,31.4,6.6,688.0
13198,Dwyane Wade,2009,30.2,7.5,680.0
12138,Kevin Garnett,2008,18.8,3.4,670.0
12621,Hakeem Olajuwon,1993,26.1,3.5,647.0
11658,Dwight Howard,2011,22.9,1.4,643.0
6253,Kawhi Leonard,2016,21.2,2.6,634.0
12896,LeBron James,2016,25.3,6.8,631.0
8835,Kevin Durant,2010,30.1,2.8,609.0
7348,Shaquille O'Neal,1995,29.3,2.7,605.0
1733,Kobe Bryant,2010,27.0,5.0,599.0
8624,Joel Embiid,2021,28.5,2.8,586.0
12217,Shaquille O'Neal,2001,28.7,3.7,578.0
9830,David Robinson,1996,25.0,3.0,574.0
9953,Michael Jordan,1993,32.6,5.5,565.0
2974,Clyde Drexler,1992,25.0,6.7,561.0
3802,LeBron James,2015,25.3,7.4,552.0
2162,Dirk Nowitzki,2006,26.6,2.8,544.0
1574,Karl Malone,1995,26.7,3.5,532.0
2285,Jermaine O'Neal,2004,20.1,2.1,523.0
13009,LeBron James,2011,26.7,7.0,522.0
9460,Chris Webber,2001,27.1,4.2,521.0
1065,Kobe Bryant,2007,31.6,5.4,521.0
12407,Kawhi Leonard,2017,25.5,3.5,500.0
6,Magic Johnson,1991,19.4,12.5,497.0
12239,Kobe Bryant,2003,30.0,5.9,496.0
6340,Russell Westbrook,2016,23.5,10.4,486.0
1051,Kobe Bryant,2006,35.4,4.5,483.0
8173,Dwight Howard,2010,18.3,1.8,478.0
9769,David Robinson,1991,25.6,2.5,476.0
5256,Carmelo Anthony,2013,28.7,2.6,475.0
3651,Stephen Curry,2021,32.0,5.8,453.0
7896,Anthony Davis,2018,28.1,2.3,445.0
5513,LeBron James,2008,30.0,7.2,438.0
7549,Blake Griffin,2014,24.1,3.9,434.0
1157,Gary Payton,1998,19.2,8.3,431.0
3657,Chauncey Billups,2006,18.5,8.6,430.0
6728,Kobe Bryant,2011,25.3,4.7,428.0
6871,Tracy McGrady,2003,32.1,5.5,427.0
5623,Kevin Garnett,2000,22.9,5.0,408.0
9972,Scottie Pippen,1994,22.0,5.6,390.0
6855,Tracy McGrady,2002,25.6,5.3,390.0
10733,Chris Paul,2012,19.8,9.1,385.0
908,Grant Hill,1997,21.4,7.3,376.0
9651,James Harden,2020,34.3,7.5,367.0
4718,Alonzo Mourning,2000,21.7,1.6,367.0
7350,Anfernee Hardaway,1996,21.7,7.1,360.0
8229,Patrick Ewing,1993,24.2,1.9,359.0
1361,Paul George,2019,28.0,4.1,356.0
6323,Russell Westbrook,2015,28.1,8.6,352.0
6746,Kobe Bryant,2012,27.9,4.6,352.0
3245,Dirk Nowitzki,2005,26.1,3.1,349.0
9907,Giannis Antetokounmpo,2021,28.1,5.9,348.0
