"STATION","NAME","DATE","ACMH","ACSH","AWND","DAPR","FMTM","FRGT","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT16","WT18"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-01",,,,,,,,,"0.00","0.0","0.0",,"49","30",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-02",,,,,,,,,"0.00","0.0","0.0",,"49","29",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-03",,,,,,,,,"0.00","0.0","0.0",,"54","35",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-04",,,,,,,,,"0.00","0.0","0.0",,"54","36",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-05",,,,,,,,,"0.00","0.0","0.0",,"55","33",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-06",,,,,,,,,"0.00","0.0","0.0",,"53","38",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-07",,,,,,,,,"0.00","0.0","0.0",,"56","46",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-08",,,,,,,,,"0.45","0.0","0.0",,"54","49",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-09",,,,,,,,,"0.61","0.0","0.0",,"51","46",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-10",,,,,,,,,"0.08","0.0","0.0",,"55","46",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-11",,,,,,,,,"0.48","0.0","0.0",,"53","43",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-12",,,,,,,,,"0.00","0.0","0.0",,"53","37",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-13",,,,,,,,,"0.05","0.0","0.0",,"49","33",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-14",,,,,,,,,"0.67","0.0","0.0",,"48","40",,,,,,,,,,,,,,,,,,"    1",
